D_name,count,S_chn_ppp_20,S_road_dis,S_busdis,S_subdis,S_jun_dis,S_shp_Large volume,S_shp_country,S_shp_crowd,S_shp_empty,S_shp_road,S_shp_squire,S_fun_交通用地,S_fun_公共服务,S_fun_商业用地,S_fun_基础设施用地,S_fun_居住用地,S_fun_工业用地,S_fun_空地,S_fun_绿地,S_shpstd,S_funstd,S_junction_num,S_marketjoin,S_busjoin,S_length,bw_1,bw_2,bw=3,bw=4,bw=5,bw=6,bw=7,bw=8
丁楼技校,16,26.005,12.433318,324.509,3117.49,250.868,0.0,26.463467109283528,0.0,0.0,73.53653502230685,0.0,0.0,35.68157028891937,0.0,12.27555630020458,0.0,11.561655964137117,0.0,25.60417766719393,29.803591517840303,13.666276265852586,1.0,2,1,2937.388726516157,0.505090841,3.501708538,16.96457179,41.79883889,73.82238714,110.1140191,149.0978919,189.6868352
七里沟批发市场,446,26.005,9.737498,67.7572,679.363,21.2061,5.864707310265638,0.0,49.960740774401735,0.0,0.0,44.17455415541964,5.026773197009349,0.0,32.3276546384599,1.942600084507502,12.151988582059428,13.25456321152337,6.252001642686489,11.87297290258742,23.728442443851723,10.141551767164025,5.0,305,2,5561.373466526029,6.391393502,29.08543023,74.66516363,138.432191,211.4752659,285.0177133,353.1027196,413.0625114
万事达科技,4,30.3781,10.13507,13.3269,2823.42,40.8759,0.0,7.655769890232818,0.0,0.0,12.963332624834685,79.38090017874477,0.0,1.24293358836296,0.0,0.0,5.271243386872042,39.39440762864466,1.11236633112174,1.581294107296564,31.18114610491965,13.573692071561371,2.0,9,1,3011.64059249509,6.049120806,29.57893604,64.29866573,101.353023,138.3455841,176.5017214,216.488962,257.7110994
万宁华府,1345,26.005,8.710984,84.8365,292.577,18.0529,0.0,0.0,80.2453536311292,0.0,0.0,19.754648562767223,0.0,6.803234817444648,16.652588185291034,0.0,53.53139380600514,0.0,0.0,0.0,32.1337709565089,18.701886368069488,42.0,388,13,11850.316297231531,38.55928823,97.82856778,151.0605169,199.8190339,247.690609,296.0599584,344.0394987,390.0238216
万宁华府南,357,26.005,9.221285,159.203,493.336,19.1716,0.0,0.0,71.05219414114879,0.0,0.0,28.94780886310032,0.284471421838457,7.939772713668054,11.109521793027833,0.0,59.0494273878932,0.0,0.0,0.358830888872551,29.05072516629416,20.348631848202206,58.0,328,13,13313.876067514468,38.30591535,98.45540742,153.1322692,203.1331827,252.2201873,301.6692025,350.4456174,396.8930558
万泰广场,14,40.7616,21.312029,39.274,1075.44,105.627,100.00000216251529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.97203811797404,40.82482992922947,26.50661827629788,6.0,51,4,4872.319419941196,4.656090169,26.89032408,53.01631008,76.88026378,101.4622728,130.6464783,165.4168103,204.3885808
万福世家,137,28.0051,27.259473,220.76,703.704,139.913,0.0,0.0,0.688446816467024,0.0,92.8655213484664,6.4460344071563,0.0,0.0,0.0,0.0,58.29496094319653,0.0,3.945785453849898,19.357107477150954,37.41487303604496,20.55061029503656,9.0,20,0,6173.476094394061,11.90534214,29.95228372,43.11973223,57.77493821,79.6134283,110.2206083,148.7192635,192.634645
万科城,107,30.3781,20.618971,100.657,2926.53,185.846,0.0,5.700778905607591,6.78222910159148,0.0,87.51699426688106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.741800460411234,34.84553071702898,15.11150847283954,2.0,31,4,2648.522672989853,0.512723108,9.262936658,31.9141144,68.81797377,113.035028,160.0246028,207.7266627,254.9023038
万象府,22,28.0051,23.676694,47.8134,767.077,154.554,4.156360721921613,0.0,56.935659500555566,0.0,0.000400227432259,38.90758176871413,0.0,0.0,0.877569234118976,35.00283975782292,2.938143943109481,0.173482062980077,32.94819315510901,5.517649878398096,24.92419641971435,15.121858533037903,5.0,47,2,5344.696959327232,13.01403875,33.66993401,63.10740616,102.7001754,147.986512,196.1160976,245.3239054,293.9625938
万豪北门西,22,30.3781,0.799807,168.935,3089.39,146.899,11.706055724453316,0.0,80.22417792420222,0.0,0.0,8.069768844316146,0.0,1.023885581133664,0.0,0.0,37.169722660708544,27.38582673135656,0.0,0.0,31.53222124644261,15.095114364264765,6.0,48,6,5008.866051311203,13.46217912,41.90206078,80.01375735,120.6320666,161.9162944,204.9228352,249.4394212,294.1602284
万达华府,123,40.7616,26.25861,190.722,372.043,232.32,50.8428674980926,0.0,10.634411720137258,0.0,0.0,38.52272287064339,0.0,42.488949482933535,1.826973268464325,0.0,41.455854630748114,0.0,0.0,1.856884774907427,22.429540027092,19.164091271328218,10.0,164,8,7323.640774223259,15.96577393,39.56029205,70.89942603,109.8038946,157.2199961,209.8916299,263.7210613,315.8004944
万达广场西门,1258,28.0051,7.715721,162.495,271.797,38.021,17.767094747047157,0.0,73.47064408609317,0.0,0.0,8.762263395079763,0.0,1.596100430385757,20.99989546397685,0.506610155914134,42.722337488138216,0.0,0.0,11.50485585567794,28.71834158526573,15.370994922491814,6.0,437,4,6171.688848966821,18.80857515,44.23635652,81.08885116,138.5951105,208.0144192,279.0633811,345.4321024,404.3729934
万邦金桥制药,45,30.3781,28.859433,46.0416,4075.36,284.471,62.116918924753705,0.0,15.23754764958494,0.0,0.0,22.645535978670384,19.45147668249056,0.0,0.001774820707077,0.052007191799766,0.278942963837769,54.03514199823231,0.0,1.494180084603552,24.23570928639013,19.240781651038155,2.0,24,6,3474.724435467243,12.6643095,45.95955875,86.03780846,130.5440764,177.9751755,227.476478,277.3751805,325.7948042
